key_lotr,key_ft,card_name,text_clean,text_combined,book,chapter,row,tier
83,73,Swords to Plowshares,"Anything that Hobbits had no immediate use for, but were unwilling to throw away, they called a mathom. Their dwellings were apt to become rather crowded with mathoms."," the mathom-house it was called; for anything that hobbits had no immediate use for, but were unwilling to throw away, they called a mathom.",fs,1,237,all
98,22,Prize Pig,The habit of building farmhouses and barns began among the inhabitants of the Marish down by the Brandywine., the habit of building farmhouses and barns was said to have begun among the inhabitants of the marish down by the brandywine.,fs,1,278,all
109,172,Command Tower,The Hobbits of the Westfarthing said that one could see the Sea from the top of that tower; but no Hobbit had ever been known to climb it., the hobbits of the westfarthing said that one could see the sea from the lop of that tower; but no hobbit had ever been known to climb it.,fs,1,297,all
119,197,Sandsteppe Citadel,"The houses and the holes of Shire-Hobbits were often large, and inhabited by large families. Sometimes many generations of relatives lived in comparative peace together in one ancestral and many-tunneled mansion."," the houses and the holes of shire-hobbits were often large, and inhabited by large families.",fs,1,321,all
292,48,Horizon Canopy,"It was popularly believed, as local legend, that the Hill at Bag End was full of tunnels stuffed with treasure."," the riches he had brought back from his travels had now become a local legend, and it was popularly believed, whatever the old folk might say, that the hill at bag end was full of tunnels stuffed with treasure.",fs,5,17,all
323,5,The Gaffer,"On the growing of vegetables, especially potatoes, Master Hamfast Gamgee was recognized as the leading authority by all in the neighborhood."," with perfect truth: for bilbo was very polite to him, calling himmaster hamfast, and consulting him constantly upon the growing of vegetables - in the matter ofroots, especially potatoes, the gaffer was recognized as the leading authority by all in the neighbourhood (including himself).",fs,5,79,all
419,151,Chromatic Lantern,"Gandalf’s fame in the Shire was due mainly to his skill with fires, smokes, and lights."," that was gandalf s mark, of course, and the old man was gandalf the wizard, whose fame in the shire was due mainly to his skill with fires, smokes, and lights.",fs,5,221,all
435,205,Sunpetal Grove,"The flowers glowed red and golden: snapdragons and sunflowers, and nasturtians trailing all over the turf walls and peeping in at the round windows."," the flowers glowed red and golden: snap-dragons and sun-flowers, and nasturtiums trailing all over the turf walls and peeping in at the round windows.",fs,5,246,all
679,196,Rogue's Passage,"I’m leaving; for somewhere where I can finish my book, perhaps. I have thought of a nice ending for it: ‘And he lived happily ever after to the end of his days.’
", i have thought of a nice ending for it: and he lived happily ever after to the end of his days.,fs,5,640,all
722,149,Arcane Signet,"Magic rings are, well, magical; and they are rare and curious.
"," magic rings are - well, magical; and they are rare and curious.",fs,5,688,all
1127,111,Inferno Titan,"I daresay there’s more truth in some of them stories than you reckon.
"," no doubt you can, retorted sam,and i daresay there's more truth in some of them than you reckon.",fs,6,124,all
1354,77,Boon of the Wish-Giver,"Three Rings for the Elven-kings under the sky,
Seven for the Dwarf-lords in their halls of stone,
Nine for Mortal Men doomed to die,
One for the Dark Lord on his dark throne
In the Land of Mordor where the Shadows lie."," it is only two lines of a verse long known in elven-lore: three rings for the elven-kings under the sky, seven for the dwarf-lords in their halls of stone, nine for mortal men doomed to die, one for the dark lord on his dark throne in the land of mordor where the shadows lie.",fs,6,471,all
1371,76,Arcane Denial,"Last night I told you of Sauron, the Dark Lord. The rumors are true: he has arisen again.
", the rumours that you have heard are true: he has indeed arisen again and left his hold in mirkwood and returned to his ancient fastness in the dark tower of mordor.,fs,6,495,all
1386,112,Knollspine Dragon,"Of the seven Rings of Power the Dwarf-kings possessed, three Sauron has recovered, and the others the dragons have consumed."," seven the dwarf-kings possessed, but three he has recovered, and the others the dragons have consumed.",fs,6,519,all
1508,12,"Gollum, Obsessed Stalker","He hated the Ring and loved it, as he hated and loved himself."," he hated it and loved it, as he hated and loved himself.",fs,6,731,all
1815,187,Graypelt Refuge,"As long as the Shire remains safe, I shall find wandering more bearable; somewhere there is a firm foothold, even if I cannot return.
"," i feel that as long as the shire lies behind, safe and comfortable, i shall find wandering more bearable: i shall know that somewhere there is a firm foothold, even if my feet cannot stand there again.",fs,6,1111,all
1998,169,Canopy Vista,"The Shire had seldom seen so fair a summer, or so rich an autumn; the trees were laden with apples, honey was dripping in the combs, and the corn was tall and full."," the shire had seldom seen so fair a summer, or so rich an autumn: the trees were laden with apples, honey was dripping in the combs, and the corn was tall and full.",fs,7,141,all
